Ref_Date,GEO,PRO,PIP,STA,Vector,Coordinate,Value
2016/09,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,20774149.0
2016/10,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,20770012.0
2016/11,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,21890666.0
2016/12,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,21950145.0
2017/01,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,23009443.0
2017/02,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,20471975.0
2017/03,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,21180243.0
2017/04,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,18443757.0
2017/05,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,19683222.0
2017/06,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,19905547.0
2017/07,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,21758011.0
2017/08,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,22246399.0
2017/09,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,21000741.0
2017/10,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,21139860.0
2017/11,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,21372526.0
2017/12,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,22813148.0
2018/01,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,22392575.0
2018/02,Canada,Crude oil and equivalent products,Receipts from fields and plants,Cubic metres,v107705254,1.1.2.1,20505253.0
2016/03,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,120776180.0
2016/04,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,107456277.0
2016/05,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,95284350.0
2016/06,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,101778153.0
2016/07,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,122369172.0
2016/08,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,129942576.0
2016/09,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,130665242.0
2016/10,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,130639221.0
2016/11,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,137687911.0
2016/12,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,138062022.0
2017/01,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,144724795.0
2017/02,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,128764628.0
2017/03,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,133219492.0
2017/04,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,116007543.0
2017/05,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,123803530.0
2017/06,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,125201910.0
2017/07,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,136853538.0
